FlatNo,OwnerName,MonthlyConsumption(L),MonthlyExpense(INR),PercentageExpense(%)
A-101,Priya Desai,13822,1999.23,0.88
A-102,Naveen Kulkarni,9831,1217.58,0.53
A-103,Vikas Kulkarni,10620,1868.86,0.82
A-104,Ira Mishra,8630,1447.77,0.63
A-105,Rekha Patel,10255,1320.1,0.58
A-106,Rohit Jain,5529,816.18,0.36
A-107,Naveen Das,7477,1281.59,0.56
A-108,Ritu Menon,14170,2442.11,1.07
A-109,Sunita Verma,9629,1357.58,0.6
A-110,Vikas Pandey,7395,990.24,0.43
A-111,Suresh Pillai,6608,1066.8,0.47
A-112,Vivek Banerjee,6929,918.03,0.4
A-113,Nidhi Reddy,14749,2631.57,1.15
A-114,Vivek Das,6111,799.97,0.35
A-115,Ravi Rastogi,7693,1229.12,0.54
A-116,Nidhi Malhotra,12340,1608.04,0.71
A-117,Ritu Jain,14543,2114.04,0.93
A-118,Arjun Ghosh,11726,1412.3,0.62
A-119,Mehul Trivedi,11556,1498.73,0.66
A-120,Sanjay Pandey,9069,1589.29,0.7
A-121,Mehul Das,11063,1597.9,0.7
A-122,Rohit Chopra,14348,1862.89,0.82
A-123,Nidhi Mishra,11121,1682.41,0.74
A-124,Gaurav Choudhury,8809,1191.16,0.52
A-125,Akash Choudhury,9950,1515.55,0.66
A-126,Anita Pandey,10222,1676.41,0.74
B-101,Lavanya Menon,10644,1389.63,0.61
B-102,Sneha Yadav,6152,965.87,0.42
B-103,Kavita Pandey,14373,2039.5,0.89
B-104,Sunita Patel,11071,1941.71,0.85
B-105,Tanvi Bhatia,8323,1178.42,0.52
B-106,Vivek Singh,9938,1553.48,0.68
B-107,Neha Ghosh,5970,932.43,0.41
B-108,Priya Verma,6128,956.04,0.42
B-109,Amit Krishnan,14909,2256.25,0.99
B-110,Neha Sharma,13350,2315.64,1.02
B-111,Payal Pillai,7097,937.01,0.41
B-112,Swati Iyer,5122,697.37,0.31
B-113,Priya Mishra,5254,737.29,0.32
B-114,Anita Gupta,13430,1820.14,0.8
B-115,Ravi Agarwal,14250,2507.17,1.1
B-116,Ira Malhotra,9905,1689.75,0.74
B-117,Shreya Desai,5574,697.3,0.31
B-118,Rajesh Joshi,14284,2565.08,1.13
B-119,Aditya Malhotra,9938,1591.26,0.7
B-120,Shreya Trivedi,6266,1104.57,0.48
B-121,Aditya Krishnan,8321,1429.12,0.63
B-122,Chirag Krishnan,5382,885.1,0.39
B-123,Vikas Banerjee,13795,1892.98,0.83
B-124,Naveen Kapoor,7286,1204.35,0.53
B-125,Anjali Chopra,14851,2002.27,0.88
B-126,Arjun Kulkarni,12778,1646.87,0.72
C-101,Chirag Pandey,8248,1439.2,0.63
C-102,Parth Nair,12576,2067.91,0.91
C-103,Anita Malhotra,14448,2462.99,1.08
C-104,Mehul Banerjee,11043,1708.86,0.75
C-105,Mehul Rastogi,8914,1135.31,0.5
C-106,Karan Mishra,9994,1610.1,0.71
C-107,Karan Pandey,14280,2310.69,1.01
C-108,Divya Agarwal,8601,1126.7,0.49
C-109,Ira Reddy,14917,1862.26,0.82
C-110,Yogesh Joshi,12083,1865.8,0.82
C-111,Shalini Kulkarni,10372,1445.15,0.63
C-112,Shreya Rastogi,11771,1639.36,0.72
C-113,Komal Rastogi,11745,1887.44,0.83
C-114,Gaurav Yadav,12445,1929.48,0.85
C-115,Parth Kulkarni,13637,2020.06,0.89
C-116,Sanjay Gupta,7545,1215.03,0.53
C-117,Harsh Desai,9997,1307.71,0.57
C-118,Meena Yadav,7560,1118.34,0.49
C-119,Aditya Das,12339,1732.36,0.76
C-120,Gaurav Chopra,13542,1704.34,0.75
C-121,Swati Mishra,9984,1603.35,0.7
C-122,Ritu Sharma,13339,2126.9,0.93
C-123,Nidhi Jain,5892,1027.05,0.45
C-124,Gaurav Singh,13379,1618.51,0.71
C-125,Suresh Sharma,6865,834.1,0.37
C-126,Arjun Verma,5404,856.57,0.38
D-101,Harsh Iyer,8474,1126.73,0.49
D-102,Swati Reddy,5316,750.23,0.33
D-103,Sanjay Choudhury,14393,2434.34,1.07
D-104,Rohit Patel,13767,1743.41,0.76
D-105,Aditya Trivedi,6106,900.64,0.4
